Date,Open,High,Low,Close,Volume
1/25/2018,79,79,73.1,74.25,"321,500"
1/26/2018,75,75,74.55,74.55,"172,500"
1/29/2018,78.25,78.27,77.3,78.26,"455,500"
1/30/2018,77.11,77.35,77.11,77.25,"5,000"
1/31/2018,76.9,76.99,76.9,76.9,"101,000"
2/1/2018,78.1,78.1,77.25,77.25,"52,500"
2/6/2018,76,76,75.05,75.09,"2,500"
2/7/2018,75.55,76.2,75.5,76.2,"18,000"
2/8/2018,76.95,77,76.95,76.99,"28,000"
2/9/2018,77,77,76.25,76.25,"1,500"
2/12/2018,72.5,79.75,72.5,77,"54,500"
2/13/2018,76.6,76.6,76.6,76.6,"1,000"
2/14/2018,76.1,76.11,73.75,74,"12,500"
2/15/2018,75,76.4,75,76,"53,000"
2/16/2018,73,74.5,72.5,74.45,"7,000"
2/20/2018,74.5,75,74.5,75,"2,000"
2/21/2018,75,75.4,75,75.06,"37,500"
2/22/2018,74.9,75.1,74.9,75.01,"11,000"
2/23/2018,75,76.1,72.5,75,"124,000"
2/26/2018,76.5,77.05,76.5,76.68,"1,500"
2/28/2018,76.75,77.75,75,75,"2,500"
3/2/2018,77.25,77.25,76,76.83,"1,500"
3/5/2018,77.99,78,77.99,78,"1,000"
3/7/2018,77,77,77,77,500
3/8/2018,76.99,77,76,76.13,"50,000"
3/9/2018,78.8,78.8,75.8,75.8,"15,000"
3/12/2018,75,75.8,75,75.74,"16,500"
3/13/2018,75.8,76,75.8,76,"1,149,000"
3/14/2018,76,76,75,75.84,"106,500"
3/15/2018,76,76.99,76,76,"2,500"
3/16/2018,75.5,76.5,75.5,76.4,"46,500"
3/19/2018,76,76,75.25,75.25,"4,000"
3/20/2018,76.99,79.01,76,76.65,"666,500"
3/21/2018,77.49,78.9,77,78.45,"289,000"
3/22/2018,78.6,80.5,77.02,80.13,"1,135,500"
3/26/2018,84.13,84.13,77.7,77.7,"4,000"
3/27/2018,77.18,78.75,77.18,78.51,"165,000"
3/28/2018,78.4,80,78.4,79.09,"437,000"
3/29/2018,80,82.97,79,80.04,"175,000"
3/30/2018,80,80,79.4,79.64,"32,500"
4/2/2018,78.9,80,78.9,79.01,"12,500"
4/3/2018,78.55,78.55,78.55,78.55,"250,000"
4/4/2018,80,80,78,78,"201,000"
4/5/2018,79.8,79.8,78.51,79.8,"147,000"
4/6/2018,79.8,79.8,78.7,79.47,"256,500"
4/9/2018,77.05,77.55,77,77.05,"51,000"
4/10/2018,78.45,78.8,78,78.42,"1,500"
4/11/2018,78.25,78.25,77.75,77.75,"3,000"
4/12/2018,77.5,77.5,76.5,77,"16,500"
4/13/2018,76.2,78,76.16,77.76,"13,500"
4/16/2018,77.7,78.99,77.7,78.99,"5,000"
4/17/2018,80,80,78.11,79.39,"21,500"
4/18/2018,78.01,78.4,77,78.33,"29,000"
4/19/2018,78,78.99,76.99,78.25,"62,500"
4/20/2018,77,78.99,77,78.16,"5,500"
