Date,Open,High,Low,Close,Volume
11-Oct-17,513,517,510,514.72,"23,650"
12-Oct-17,519.3,519.3,509,512.57,"58,050"
13-Oct-17,512,512,490,508.54,"73,900"
16-Oct-17,507.89,516,507.89,514.59,"104,400"
17-Oct-17,518.99,540.31,514,540.31,"167,900"
18-Oct-17,549.99,555,530.05,543.18,"111,200"
19-Oct-17,545,568,536,566.44,"103,400"
20-Oct-17,565,574.8,559,571.87,"48,750"
23-Oct-17,571.87,571.87,547,552.41,"18,650"
24-Oct-17,546.01,548,535,540.45,"24,650"
25-Oct-17,540,552,540,546.54,"68,900"
26-Oct-17,540,548,540,544.58,"33,600"
27-Oct-17,542.01,543,535,536.68,"19,450"
30-Oct-17,536.68,536.68,522,525.61,"28,900"
31-Oct-17,520,530,516,517.58,"136,200"
1-Nov-17,519.5,530,517.21,527.36,"193,500"
2-Nov-17,524,533.45,524,527.76,"10,300"
3-Nov-17,525,537.5,525,529.48,"19,550"
6-Nov-17,530,533,526,531.68,"5,800"
7-Nov-17,538.99,555,534.5,539.6,"228,350"
8-Nov-17,543,558.85,542.8,552.51,"157,100"
9-Nov-17,559.85,580.13,558,580.13,"215,500"
10-Nov-17,588.99,589.5,570,580.73,"148,850"
13-Nov-17,569,590,565,583.3,"94,450"
14-Nov-17,594,597,578,578.96,"94,950"
15-Nov-17,584,584,566,568.89,"23,650"
16-Nov-17,580,582,566,569.6,"30,600"
17-Nov-17,563,578,563,573.78,"37,700"
20-Nov-17,571,576.9,568,571.09,"45,900"
21-Nov-17,572,592,572,582.17,"71,700"
22-Nov-17,578.15,595,553.07,559.54,"248,900"
23-Nov-17,553,558.99,535,540.7,"63,800"
24-Nov-17,537,545.86,537,544.47,"22,350"
27-Nov-17,539,539,532,532.97,"23,250"
28-Nov-17,539.49,539.49,529,529.79,"30,800"
29-Nov-17,530,531.5,525,526.24,"13,900"
30-Nov-17,529.99,552.55,529.99,551.1,"135,500"
4-Dec-17,549.99,556.5,541.01,553.19,"95,200"
5-Dec-17,555.85,569,554,559.83,"98,950"
6-Dec-17,563.99,563.99,554,555.06,"14,850"
7-Dec-17,551.08,552.5,528.23,530.56,"65,900"
8-Dec-17,528,542,528,531.96,"23,500"
11-Dec-17,532,535,505.37,505.54,"100,300"
12-Dec-17,508.5,508.5,495,501.97,"23,800"
13-Dec-17,504.5,522,502.02,510.42,"25,200"
14-Dec-17,508,513.88,499,501.83,"23,650"
15-Dec-17,502.8,514.5,500.5,508.51,"24,250"
18-Dec-17,507.99,511.99,500,504.67,"13,350"
19-Dec-17,501.1,502.5,485,493.41,"80,300"
20-Dec-17,503.99,504,500,501.41,"42,050"
21-Dec-17,498.98,504.8,490,499.08,"146,600"
22-Dec-17,498.5,513.65,498.25,507.9,"55,200"
26-Dec-17,507,509,499,501.87,"58,850"
27-Dec-17,504.9,507.8,501.1,504.06,"61,000"
28-Dec-17,504,512,502,507.76,"44,750"
29-Dec-17,510.5,519,509,512.41,"23,100"
1-Jan-18,516,516,492.1,500.88,"30,900"
2-Jan-18,500.95,511.5,495,510.44,"29,100"
3-Jan-18,509,510,504.5,506.99,"18,050"
4-Jan-18,507.01,514,507.01,508.94,"10,600"
5-Jan-18,508.2,520,508.06,515.76,"62,400"
8-Jan-18,519,535,515,521.81,"57,750"
9-Jan-18,526.5,526.5,516.99,518.33,"23,100"
10-Jan-18,520.98,529.49,520.98,526.51,"31,250"
11-Jan-18,529.5,529.5,519.98,523.61,"27,500"
12-Jan-18,524.99,524.99,515.01,518.44,"26,450"
15-Jan-18,520,522,518,520.01,"24,950"
16-Jan-18,523.95,524.9,521.02,523.01,"19,600"
17-Jan-18,528,528,522,522.47,"82,000"
18-Jan-18,527.96,535.99,520,525.01,"116,100"
19-Jan-18,530,551.26,530,548.99,"239,600"
22-Jan-18,552,564,549,559.01,"96,350"
23-Jan-18,565,565,531.06,531.34,"181,650"
24-Jan-18,531,537.49,530,532.52,"40,550"
25-Jan-18,532,536.9,530,530.93,"22,150"
26-Jan-18,532.4,532.4,515.15,520.27,"23,300"
29-Jan-18,521,525,520.5,523.86,"20,450"
30-Jan-18,524,538,524,533.95,"115,400"
31-Jan-18,536,538,530,531.54,"41,450"
1-Feb-18,534.99,535.9,515,519.72,"48,500"
2-Feb-18,522,545.7,522,526.09,"335,900"
6-Feb-18,521,530.1,515,529.2,"59,450"
7-Feb-18,532.99,534.75,520.14,521.47,"103,150"
8-Feb-18,526,526,520,521.56,"55,300"
9-Feb-18,517.2,525,517.2,523.49,"104,350"
12-Feb-18,520.1,528,520.1,521,"64,850"
13-Feb-18,522,526,515,516.96,"115,200"
14-Feb-18,518.5,520.95,508,509.44,"136,800"
15-Feb-18,511.22,514.99,504,508.07,"65,250"
16-Feb-18,509.9,512,506,507.51,"185,050"
19-Feb-18,507.8,508.7,505.99,506.48,"98,500"
20-Feb-18,506.5,506.5,500,502.78,"59,900"
21-Feb-18,506,508.99,501.01,502.83,"80,500"
22-Feb-18,497,506,497,504.51,"61,200"
23-Feb-18,509,509,487.01,492.29,"65,300"
26-Feb-18,496.94,496.94,475.15,477.9,"126,450"
27-Feb-18,479.9,483.5,472,474.45,"270,750"
28-Feb-18,478,479.49,473.5,474.88,"62,750"
1-Mar-18,472,478,470,475.01,"110,250"
2-Mar-18,475,489.5,475,481.34,"141,050"
5-Mar-18,482.67,485.99,480,481.55,"72,600"
6-Mar-18,482,505.62,481.01,502.09,"466,150"
7-Mar-18,505,505,487,488.94,"153,650"
8-Mar-18,490.5,492.45,481.5,483.84,"90,350"
9-Mar-18,486,493,481.15,487.81,"89,900"
12-Mar-18,491,495,485.3,491.46,"46,200"
13-Mar-18,491,492,487,488.76,"49,450"
14-Mar-18,488,488,483.91,484.78,"31,250"
15-Mar-18,485.99,487.87,478,479.92,"50,750"
16-Mar-18,478.01,484.49,476.01,478.93,"46,350"
19-Mar-18,477.01,486.5,477.01,484.39,"48,050"
20-Mar-18,488,488.89,475,476.74,"73,750"
21-Mar-18,476.89,479.6,473,473.75,"88,900"
22-Mar-18,472.5,476.75,468,469.84,"46,250"
26-Mar-18,470,470,465,466.88,"33,950"
27-Mar-18,468,474.8,468,472.1,"59,400"
28-Mar-18,474,478,471.1,472.27,"63,950"
29-Mar-18,474.9,475,469,471.63,"52,500"
30-Mar-18,471.99,485,471.99,477.32,"86,550"
2-Apr-18,480,487,479,485.77,"184,350"
3-Apr-18,488,507,486,502.57,"376,700"
4-Apr-18,502.5,505,487,488.73,"193,750"
5-Apr-18,488,489.8,478,479.03,"173,200"
6-Apr-18,484.99,485,480,480.96,"46,600"
9-Apr-18,483.5,485.5,480,481.47,"27,400"
10-Apr-18,483,491.49,482.5,487.34,"62,400"
11-Apr-18,487.35,503,486,492.18,"201,050"
12-Apr-18,499,516.78,491,514.59,"843,200"
13-Apr-18,514,516,505,508.39,"304,950"
